Date,Time,Observation
4/24/09,8:35:29,0.793019
4/24/09,8:51:41,0.599368
4/24/09,9:07:52,0.584173
4/24/09,9:57:36,0.541102
4/24/09,9:58:11,0.562649
4/24/09,10:37:30,0.668966
4/24/09,12:11:44,0.801459
4/24/09,13:11:08,1.238376
4/25/09,6:08:29,0.757828
4/25/09,6:48:32,0.722303
4/25/09,7:14:16,0.707022
4/25/09,7:48:21,0.660838
4/25/09,8:33:04,0.669821
4/25/09,9:05:26,0.641809
4/25/09,9:37:08,0.713316
4/25/09,11:01:56,0.563363
4/25/09,11:16:57,0.568189
4/25/09,11:31:55,0.705282
4/25/09,11:46:55,0.621005
4/25/09,11:53:02,0.634753
4/29/09,7:54:09,1.065821
4/29/09,9:17:00,0.750969
4/29/09,9:19:06,0.586907
4/30/09,5:24:11,0.549137
4/30/09,5:24:50,0.545246
4/30/09,6:42:46,0.552928
4/30/09,6:54:31,0.556262
4/30/09,7:04:05,0.572175
4/30/09,8:01:41,0.502287
4/30/09,14:19:02,0.676396
5/1/09,5:46:08,0.92485
5/1/09,5:52:21,0.919354
5/1/09,6:01:04,0.910111
5/1/09,6:16:06,0.914403
5/1/09,6:31:09,0.919536
5/1/09,6:46:07,0.910755
5/1/09,7:01:04,0.916542
5/1/09,7:16:04,0.930843
5/1/09,7:31:04,0.924177
5/1/09,7:46:07,0.905045
5/1/09,8:01:05,0.88887
5/1/09,8:16:05,0.901597
5/1/09,8:31:05,0.893769
5/1/09,8:46:06,0.868536
5/1/09,9:01:06,0.870162
5/1/09,9:16:06,0.873118
5/1/09,9:31:05,0.932371
5/1/09,9:46:06,0.882202
5/1/09,10:01:04,0.886478
5/1/09,10:16:05,0.900418
5/1/09,10:31:04,0.882116
5/1/09,10:46:05,0.896902
5/1/09,11:01:05,0.908707
5/1/09,11:16:04,0.906588
5/1/09,11:31:04,0.901246
5/1/09,11:46:05,0.815395
5/1/09,11:52:02,0.844602
5/1/09,12:01:04,0.890312
5/1/09,12:16:05,0.910872
5/1/09,12:32:50,0.91954
5/1/09,13:00:27,0.961893
5/1/09,13:14:04,0.980379
5/1/09,13:25:11,0.989793
5/1/09,13:34:21,0.976286
5/1/09,13:42:10,0.99819
5/1/09,13:48:51,0.993626
5/1/09,13:55:02,0.953891
5/1/09,13:59:32,0.965876
5/1/09,14:01:24,0.96704
5/1/09,14:04:18,0.957727
5/1/09,14:08:20,0.961146
5/1/09,14:11:58,0.982956
5/2/09,3:19:27,0.772243
5/2/09,3:28:12,0.75332
5/2/09,3:36:43,0.761095
5/2/09,3:42:33,0.738365
5/2/09,3:48:39,0.725498
5/2/09,3:57:06,0.71226
5/2/09,9:15:58,0.821442
5/2/09,9:46:04,0.616908
5/2/09,13:49:27,0.416718
5/3/09,3:05:00,0.308451
5/3/09,3:11:03,0.305655
5/3/09,3:18:42,0.306308
5/3/09,3:25:45,0.299674
5/3/09,3:27:40,0.301179
5/3/09,3:30:56,0.288683
5/3/09,3:36:03,0.287262
5/3/09,3:41:52,0.288867
5/3/09,3:47:59,0.295937
5/3/09,3:52:42,0.300713
5/3/09,3:56:22,0.30105
5/3/09,4:05:35,0.305365
5/3/09,4:16:40,0.327411
5/3/09,4:30:21,0.359748
5/3/09,7:15:51,0.34623
5/3/09,7:30:53,0.367433
5/3/09,7:45:52,0.391722
5/3/09,8:15:52,0.398945
5/3/09,8:30:52,0.380055
5/3/09,8:45:53,0.392797
5/3/09,9:00:52,0.389682
5/3/09,9:15:53,0.394505
5/3/09,9:30:52,0.394124
5/3/09,9:45:55,0.356699
5/3/09,10:00:51,0.385012
5/3/09,10:15:53,0.39182
5/3/09,10:30:51,0.392382
5/3/09,10:45:52,0.405974
5/3/09,11:00:51,0.381381
5/3/09,11:15:52,0.355179
5/3/09,11:30:50,0.376575
5/3/09,11:45:52,0.386806
5/3/09,11:51:55,0.408913
5/3/09,12:00:52,0.42401
5/3/09,12:15:51,0.456307
5/3/09,12:33:52,0.464912
5/3/09,13:01:28,0.546025
5/3/09,13:15:04,0.510104
5/3/09,13:26:13,0.480057
5/3/09,13:35:26,0.459109
5/3/09,13:43:10,0.441193
5/3/09,13:49:52,0.422733
5/3/09,13:56:05,0.41691
5/3/09,14:00:36,0.401931
5/3/09,14:02:35,0.397882
5/3/09,14:05:20,0.395539
5/3/09,14:09:23,0.395313
5/3/09,14:13:01,0.394509
5/3/09,14:20:39,0.414329
5/4/09,3:04:15,0.663448
5/4/09,3:10:25,0.660568
5/4/09,3:18:00,0.638244
5/4/09,3:24:51,0.618584
